"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"266"	"表4"	"12125-01-8"	"12125-01-8"	"氟化铵"
"267"	"表4"	"12125-01-8[水溶液]"	"12125-01-8"	"氟化铵，水溶液"
"268"	"表2"	"7787-32-8"	"7787-32-8"	"氟化钡"
"269"	"表2"	"7787-61-3"	"7787-61-3"	"氟化铋(Ⅲ)"
"270"	"表2"	"7787-62-4"	"7787-62-4"	"氟化铋(Ⅴ)"
"271"	"表2"	"15298-38-1"	"15298-38-1"	"氟化锆(Ⅳ)，水合"
"272"	"表2"	"7783-64-4"	"7783-64-4"	"氟化锆(Ⅳ)"
"273"	"表2"	"7790-79-6"	"7790-79-6"	"氟化镉"
"274"	"表4"	"7788-97-8[水溶液]"	"7788-97-8"	"氟化铬(Ⅲ)，水溶液"
"275"	"表2"	"123333-98-2"	"123333-98-2"	"氟化铬(Ⅲ)，四水"
"276"	"表4"	"7788-97-8"	"7788-97-8"	"氟化铬(Ⅲ)"
"277"	"表2"	"7783-39-3"	"7783-39-3"	"氟化汞(Ⅱ)"
"278"	"表2"	"13817-37-3"	"13817-37-3"	"氟化钴(Ⅱ)，四水"
"279"	"表2"	"10026-17-2"	"10026-17-2"	"氟化钴(Ⅱ)"
"280"	"表2"	"10026-18-3"	"10026-18-3"	"氟化钴(Ⅲ)"
"281"	"表4"	"7789-23-3"	"7789-23-3"	"氟化钾"
"282"	"表2"	"13455-21-5"	"13455-21-5"	"氟化钾，二水"
"283"	"表4"	"7789-23-3[水溶液]"	"7789-23-3"	"氟化钾，水溶液"
"284"	"表2"	"13709-38-1"	"13709-38-1"	"氟化镧(Ⅲ)"
"285"	"表2"	"7789-24-4"	"7789-24-4"	"氟化锂"
"286"	"表4"	"7681-49-4"	"7681-49-4"	"氟化钠"
"287"	"表4"	"7681-49-4[水溶液]"	"7681-49-4"	"氟化钠，水溶液"
"288"	"表2"	"7783-46-2"	"7783-46-2"	"氟化铅(Ⅱ)"
"289"	"表2"	"7783-59-7"	"7783-59-7"	"氟化铅(Ⅳ)"
"290"	"表4"	"1341-49-7[水溶液]"	"1341-49-7"	"氟化氢铵，水溶液"
"291"	"表4"	"1341-49-7"	"1341-49-7"	"氟化氢铵"
"292"	"表4"	"7789-29-9[水溶液]"	"7789-29-9"	"氟化氢钾，水溶液"
"293"	"表4"	"7789-29-9"	"7789-29-9"	"氟化氢钾"
"294"	"表2"	"1333-83-1"	"1333-83-1"	"氟化氢钠"
"295"	"表2"	"13446-74-7"	"13446-74-7"	"氟化铷"
"296"	"表2"	"13400-13-0"	"13400-13-0"	"氟化铯"
"297"	"表2"	"7783-56-4"	"7783-56-4"	"氟化锑(Ⅲ)"
"298"	"表2"	"7783-70-2"	"7783-70-2"	"氟化锑(Ⅴ)"
"299"	"表2"	"13454-88-1"	"13454-88-1"	"氟化铜(Ⅱ)，二水"
"300"	"表2"	"7789-19-7"	"7789-19-7"	"氟化铜(Ⅱ)"
"301"	"表2"	"7783-82-6"	"7783-82-6"	"氟化钨(Ⅵ)"
"302"	"表2"	"73640-07-0"	"73640-07-0"	"氟化锌，水合"
"303"	"表2"	"13986-18-0"	"13986-18-0"	"氟化锌，四水"
"304"	"表2"	"7783-49-5"	"7783-49-5"	"氟化锌"
"305"	"表2"	"12013-56-8"	"12013-56-8"	"硅化钙"
"306"	"表2"	"12013-55-7"	"12013-55-7"	"硅化钙"
"307"	"表1"	"22831-39-6"	"39404-03-0"	"硅化镁"
"308"	"表2"	"22831-39-6"	"22831-39-6"	"硅化镁"
"309"	"表2"	"1305-99-3"	"1305-99-3"	"磷化钙"
"310"	"表2"	"20770-41-6"	"20770-41-6"	"磷化钾"
"311"	"表2"	"20859-73-8"	"20859-73-8"	"磷化铝"
"312"	"表2"	"12057-74-8"	"12057-74-8"	"磷化镁"
"313"	"表2"	"12058-85-4"	"12058-85-4"	"磷化钠"
"314"	"表2"	"12504-16-4"	"12504-16-4"	"磷化锶"
"315"	"表2"	"12504-13-1"	"12504-13-1"	"磷化锶"
"316"	"表2"	"25324-56-5"	"25324-56-5"	"磷化锡"
"317"	"表2"	"1314-84-7"	"1314-84-7"	"磷化锌"
"318"	"表2"	"12135-76-1"	"12135-76-1"	"硫化铵，水溶液"
"319"	"表2"	"21109-95-5"	"21109-95-5"	"硫化钡"
"320"	"表2"	"1306-23-6"	"1306-23-6"	"硫化镉"
"321"	"表2"	"1344-48-5"	"1344-48-5"	"硫化汞(Ⅱ)"
"322"	"表3"	"37248-34-3[含结晶水＜30%]"	"37248-34-3"	"硫化钾，水合"
"323"	"表3"	"37248-34-3[含结晶水≥30%]"	"37248-34-3"	"硫化钾，水合"
"324"	"表2"	"1312-73-8"	"1312-73-8"	"硫化钾"
"325"	"表4"	"7631-99-4"	"7631-99-4"	"硝酸钠"
"326"	"表2"	"13478-00-7"	"13478-00-7"	"硝酸镍(Ⅱ)，六水"
"327"	"表4"	"13138-45-9[稀硝酸溶液]"	"13138-45-9"	"硝酸镍(Ⅱ)，稀硝酸溶液"
"328"	"表4"	"13138-45-9"	"13138-45-9"	"硝酸镍(Ⅱ)"
"329"	"表2"	"14216-75-2"	"14216-75-2"	"硝酸镍"
"330"	"表2"	"10045-95-1"	"10045-95-1"	"硝酸钕(Ⅲ)"
"331"	"表2"	"16454-60-7"	"16454-60-7"	"硝酸钕(Ⅲ)，六水"
"332"	"表2"	"13746-96-8"	"13746-96-8"	"硝酸钕(Ⅲ)，水合"
"333"	"表2"	"14517-29-4"	"14517-29-4"	"硝酸钕(Ⅲ)，五水"
"334"	"表2"	"134191-62-1"	"134191-62-1"	"硝酸钕镨"
"335"	"表4"	"10102-05-3"	"10102-05-3"	"硝酸钯(Ⅱ)"
"336"	"表4"	"10102-05-3[稀硝酸溶液]"	"10102-05-3"	"硝酸钯(Ⅱ)，稀硝酸溶液"
"337"	"表2"	"13597-99-4"	"13597-99-4"	"硝酸铍"
